
>>> batch 1 offset=0 limit=50
[1/50] skip 86 (local key exists)
[4/50] skip 89 (local key exists)
[5/50] skip 90 (local key exists)
[6/50] skip 91 (local key exists)
[7/50] skip 92 (local key exists)
[8/50] skip 93 (local key exists)
[9/50] skip 94 (local key exists)
[10/50] skip 95 (local key exists)
[12/50] skip 99 (local key exists)
[13/50] skip 100 (local key exists)
[18/50] skip 213 (local key exists)
[21/50] skip 216 (local key exists)
[24/50] skip 219 (local key exists)
[25/50] skip 220 (local key exists)
[28/50] skip 223 (local key exists)
[29/50] skip 224 (local key exists)
[32/50] skip 227 (local key exists)
[34/50] skip 229 (local key exists)
[35/50] skip 230 (local key exists)
[36/50] skip 231 (local key exists)
[37/50] skip 232 (local key exists)
[38/50] skip 233 (local key exists)
[43/50] skip 238 (local key exists)
[46/50] skip 241 (local key exists)
[47/50] skip 242 (local key exists)
[48/50] skip 243 (local key exists)
[49/50] skip 244 (local key exists)
[2/50] OK 87 cf=True fp=66 (68.3s)
[14/50] OK 209 cf=True fp=0 (68.8s)
[15/50] OK 210 cf=True fp=0 (69.1s)
[3/50] OK 88 cf=True fp=0 (71.7s)
[16/50] OK 211 cf=True fp=12 (74.9s)
[11/50] OK 96 cf=True fp=64 (84.2s)
[20/50] OK 215 cf=True fp=12 (32.9s)
[19/50] OK 214 cf=True fp=42 (37.1s)
[22/50] OK 217 cf=True fp=64 (40.4s)
[17/50] OK 212 cf=True fp=66 (66.2s)
[23/50] OK 218 cf=True fp=65 (58.1s)
[30/50] OK 225 cf=True fp=39 (46.4s)
[33/50] OK 228 cf=True fp=42 (46.4s)
[41/50] OK 236 cf=True fp=40 (47.5s)
